,datetime,timestamp,open,high,low,close,volume,inflow_start_time,inflow_inflow_mean,inflow_inflow_mean_ma7,inflow_inflow_top10,inflow_inflow_total,outflow_start_time,outflow_outflow_mean,outflow_outflow_mean_ma7,outflow_outflow_top10,outflow_outflow_total,netflow_start_time,netflow_netflow_total,utxo_created_value_median,returns,volatility,volume_ma,target,hour,day_of_week,Time,zscore,signal,position,strategy_returns,equity,market,trades,fees,net_equity
23885,2025-01-01 00:00:00,1735689600000,93576.0,94509.42,93489.03,94401.14,755.9901,1735689600000.0,7.01890789,4.36177155,266.55917534,266.71849991,1735689600000.0,2.35379745,9.17969906,70.52635732,75.32151827,1735689600000.0,191.39698164,90.02657124780373,0.0088178592801573,0.0048097313875956,824.3323449999984,0,0,2,2025-01-01 00:00:00,,0,0,,,1.0088178592801573,,,
23886,2025-01-01 01:00:00,1735693200000,94401.13,94408.72,93578.77,93607.74,586.53456,1735693200000.0,1.15218197,3.96857767,23.03842486,23.04363932,1735693200000.0,39.83972008,14.13248704,1270.21338117,1274.87104258,1735693200000.0,-1251.82740326,48.28870567843358,-0.0084045595212091,0.0051684360956766,796.9745320833317,1,1,2,2025-01-01 01:00:00,,0,0,-0.0,1.0,1.0003391895357785,0.0,0.0,1.0
23887,2025-01-01 02:00:00,1735696800000,93607.74,94105.12,93594.56,94098.91,276.78045,1735696800000.0,0.0,3.85724902,0.0,0.0,1735696800000.0,0.0,12.0428046,0.0,0.0,1735696800000.0,0.0,0.0,0.005247108839504,0.0052568675639905,791.2744954166652,0,2,2,2025-01-01 02:00:00,,0,0,0.0,1.0,1.005588078139694,0.0,0.0,1.0
23888,2025-01-01 03:00:00,1735700400000,94098.9,94098.91,93728.22,93838.04,220.99302,1735700400000.0,7.12408914,4.62967786,298.93763529,299.21174398,1735700400000.0,8.65871541,12.31068692,473.43502124,502.20549387,1735700400000.0,-202.99374989,102.13468450853816,-0.0027722956620859,0.0053053240516121,782.4610583333318,0,3,2,2025-01-01 03:00:00,,0,0,-0.0,1.0,1.002800290672822,0.0,0.0,1.0
23889,2025-01-01 04:00:00,1735704000000,93838.04,93838.04,93500.0,93553.91,279.46909,1735704000000.0,74.59242354,15.19686328,2237.57561855,2237.77270613,1735704000000.0,0.47022774,11.54075867,79.63439263,82.28985396,1735704000000.0,2155.48285217,36.31926315592231,-0.0030278765413257,0.0053516839562442,772.9025249999986,0,4,2,2025-01-01 04:00:00,,0,0,-0.0,1.0,0.9997639351970591,0.0,0.0,1.0
23890,2025-01-01 05:00:00,1735707600000,93553.91,93937.19,93547.4,93792.02,209.1794,1735707600000.0,3.08488285,13.36768937,123.18420378,123.39531387,1735707600000.0,3.66603374,10.24005075,136.08615428,142.97531574,1735707600000.0,-19.58000187000001,30.72135840807835,0.0025451635319144,0.0053635085691532,767.8279049999984,0,5,2,2025-01-01 05:00:00,,0,0,0.0,1.0,1.002308497905446,0.0,0.0,1.0
23891,2025-01-01 06:00:00,1735711200000,93792.02,93792.02,93568.38,93757.58,272.27846,1735711200000.0,10.94160507,14.84487007,448.50190253,448.60580767,1735711200000.0,4.11462545,8.44330284,213.23449186,218.07514884,1735711200000.0,230.53065883,33.332730013428005,-0.0003671954181176,0.0053521051050759,754.7689604166652,1,6,2,2025-01-01 06:00:00,,0,0,-0.0,1.0,1.0019404548174748,0.0,0.0,1.0
23892,2025-01-01 07:00:00,1735714800000,93757.57,93800.0,93664.08,93684.1,197.93458,1735714800000.0,0.01312936,13.84404456,0.21799981,0.22319904,1735714800000.0,0.90964828,8.23699581,19.49643644,20.01226227,1735714800000.0,-19.78906323,29.315409435291933,-0.0007837233000254,0.0053578480669329,742.7980824999985,1,7,2,2025-01-01 07:00:00,,0,0,-0.0,1.0,1.0011552107377963,0.0,0.0,1.0
23893,2025-01-01 08:00:00,1735718400000,93684.11,93756.02,93304.0,93428.46,481.71173,1735718400000.0,10.78869302,15.220689,679.35976159,679.68766022,1735718400000.0,3.20515272,3.00348619,110.79289255,125.00095609,1735718400000.0,554.68670413,10.788667603669245,-0.0027287447923393,0.0048304925976201,688.7688149999985,1,8,2,2025-01-01 08:00:00,,0,0,-0.0,1.0,0.9984233136701722,0.0,0.0,1.0
23894,2025-01-01 09:00:00,1735722000000,93428.47,93486.29,92888.0,93413.06,798.49773,1735722000000.0,0.00931847,15.22202021,0.39294428,0.50319724,1735722000000.0,5.35396678,3.76833859,148.55962863,165.97297025,1735722000000.0,-165.46977301,11.619030864394844,-0.00016483200087,0.0048240274569958,693.0969887499986,1,9,2,2025-01-01 09:00:00,,0,0,-0.0,1.0,0.9982587415576647,0.0,0.0,1.0
23895,2025-01-01 10:00:00,1735725600000,93413.07,93536.75,93284.0,93326.23,265.55192,1735725600000.0,4.40266043,14.83324468,140.83939878,140.88513368,1735725600000.0,5.91804366,3.37681405,181.11080594,189.37739704,1735725600000.0,-48.49226336000001,21.646762428207307,-0.0009295274129763,0.0048187164926804,674.3629245833318,1,10,2,2025-01-01 10:00:00,,0,0,-0.0,1.0,0.9973308326921436,0.0,0.0,1.0
23896,2025-01-01 11:00:00,1735729200000,93326.24,93705.08,93200.0,93444.64,321.72225,1735729200000.0,0.05782119,4.18544434,1.70703231,1.73463556,1735729200000.0,13.0349035,5.17176773,385.23595723,391.04710503,1735729200000.0,-389.31246947,31.802787902029817,0.001268775134279,0.0048187809971252,665.2587291666651,1,11,2,2025-01-01 11:00:00,,0,0,0.0,1.0,0.9985962212533133,0.0,0.0,1.0
