datetime,timestamp,open,high,low,close,volume,returns,volatility,volume_ma,target,hour,day_of_week
2022-04-11 18:00:00,1649700000000,3023.12,3039.99,3008.0,3037.23,18190.5816,,,,0,18,0
2022-04-11 19:00:00,1649703600000,3037.22,3040.59,2983.67,3004.6,29409.8859,-0.010743341794990813,,,0,19,0
2022-04-11 20:00:00,1649707200000,3004.6,3019.71,2967.0,2992.84,28408.3094,-0.003913998535578722,,,0,20,0
2022-04-11 21:00:00,1649710800000,2992.84,3002.81,2950.0,2964.14,27180.9862,-0.009589553734914102,,,1,21,0
2022-04-11 22:00:00,1649714400000,2964.13,3014.78,2952.22,3000.19,32479.5973,0.012162043628168862,,,1,22,0
2022-04-11 23:00:00,1649718000000,3000.19,3006.08,2975.11,2979.74,16320.6132,-0.0068162349717851844,,,1,23,0
2022-04-12 00:00:00,1649721600000,2979.75,2996.93,2962.05,2971.22,22903.8299,-0.0028593098726734656,,,1,0,1
2022-04-12 01:00:00,1649725200000,2971.21,2988.71,2957.35,2972.41,17736.2352,0.00040050888187348477,,,1,1,1
2022-04-12 02:00:00,1649728800000,2972.42,2978.36,2950.0,2966.5,16634.5264,-0.0019882855999003857,,,1,2,1
2022-04-12 03:00:00,1649732400000,2966.49,2984.94,2965.35,2983.04,11830.2936,0.005575594134501927,,,1,3,1
2022-04-12 04:00:00,1649736000000,2983.04,3003.0,2971.38,3000.92,18668.332,0.005993885432310719,,,1,4,1
2022-04-12 05:00:00,1649739600000,3000.92,3020.76,2992.62,3018.98,21374.1226,0.006018154432640532,,,1,5,1
2022-04-12 06:00:00,1649743200000,3018.97,3027.72,3001.43,3006.52,23228.3224,-0.00412722177689151,,,1,6,1
2022-04-12 07:00:00,1649746800000,3006.51,3027.11,2997.53,3025.23,22511.9197,0.006223141705360424,,,1,7,1
2022-04-12 08:00:00,1649750400000,3025.23,3034.97,3018.63,3025.99,17811.7414,0.0002512205683533608,,,1,8,1
2022-04-12 09:00:00,1649754000000,3025.98,3029.31,3005.84,3025.31,19976.7483,-0.00022471984375360687,,,1,9,1
2022-04-12 10:00:00,1649757600000,3025.31,3028.82,3011.54,3016.61,12976.163,-0.002875738354085944,,,1,10,1
2022-04-12 11:00:00,1649761200000,3016.61,3047.05,3013.22,3040.97,28162.1059,0.008075289812073727,,,0,11,1
2022-04-12 12:00:00,1649764800000,3040.96,3081.79,3025.57,3079.76,65164.5426,0.012755798314353806,,,0,12,1
2022-04-12 13:00:00,1649768400000,3079.75,3085.0,3048.0,3052.11,51871.6792,-0.00897797230953068,,,0,13,1
2022-04-12 14:00:00,1649772000000,3052.1,3055.49,3014.97,3027.46,47518.9533,-0.00807637994698751,,,0,14,1
2022-04-12 15:00:00,1649775600000,3027.46,3057.3,3025.08,3044.98,21210.0305,0.00578702939097453,,,0,15,1
2022-04-12 16:00:00,1649779200000,3044.98,3064.0,3021.75,3042.26,32555.641,-0.000893273519037785,,,0,16,1
2022-04-12 17:00:00,1649782800000,3042.27,3050.0,3026.03,3033.1,17730.8837,-0.0030109195137826283,,25910.668512499997,0,17,1
2022-04-12 18:00:00,1649786400000,3033.09,3037.57,2998.88,3001.69,23274.2269,-0.010355741650456607,0.006965293741036085,26122.487066666665,1,18,1
2022-04-12 19:00:00,1649790000000,3001.69,3006.62,2968.09,2972.8,29563.863,-0.009624578154306396,0.006896938082776184,26128.902779166663,1,19,1
2022-04-12 20:00:00,1649793600000,2972.8,2995.0,2967.02,2987.26,16237.3786,0.004864101184068881,0.006936261598314733,25621.780662499998,1,20,1
2022-04-12 21:00:00,1649797200000,2987.26,3013.24,2985.32,3009.74,11734.6409,0.007525290734653023,0.006791644807142175,24978.18294166667,1,21,1
2022-04-12 22:00:00,1649800800000,3009.74,3022.01,2994.74,3013.81,15589.9811,0.0013522762763562568,0.006338930882154769,24274.448933333333,1,22,1
2022-04-12 23:00:00,1649804400000,3013.81,3036.55,3011.53,3027.66,13256.7893,0.004595511993124912,0.006215937889433662,24146.789604166665,1,23,1
2022-04-13 00:00:00,1649808000000,3027.65,3043.91,3022.93,3026.31,17359.5571,-0.0004458889043023051,0.006175522235125315,23915.7782375,1,0,2
2022-04-13 01:00:00,1649811600000,3026.32,3030.3,3005.5,3030.04,11235.2371,0.0012325240970025853,0.006175610907140838,23644.903316666663,1,1,2
2022-04-13 02:00:00,1649815200000,3030.05,3052.49,3018.87,3046.14,15256.3718,0.005313461208432901,0.006211069924115339,23587.480208333334,1,2,2
2022-04-13 03:00:00,1649818800000,3046.15,3068.0,3042.02,3049.09,14031.518,0.0009684387454287346,0.006138238667098889,23679.197891666667,1,3,2
2022-04-13 04:00:00,1649822400000,3049.1,3060.6,3041.42,3060.03,7762.51,0.003587955750732119,0.006071239239872383,23224.788641666662,0,4,2
2022-04-13 05:00:00,1649826000000,3060.02,3070.0,3051.94,3064.66,11559.8858,0.0015130570615320416,0.005972725622973929,22815.86210833333,0,5,2
2022-04-13 06:00:00,1649829600000,3064.67,3067.73,3038.65,3048.54,9635.6118,-0.005259963584867466,0.00601637600234614,22249.499166666665,0,6,2
2022-04-13 07:00:00,1649833200000,3048.54,3065.01,3043.74,3051.36,15671.0378,0.0009250329666004031,0.005896933990240427,21964.46242083333,1,7,2
2022-04-13 08:00:00,1649836800000,3051.35,3059.84,3048.42,3055.6,10271.6422,0.0013895443343294733,0.005900471304783197,21650.291620833334,1,8,2
2022-04-13 09:00:00,1649840400000,3055.59,3060.0,3043.91,3050.42,11896.5255,-0.0016952480691189153,0.005915101509815958,21313.615670833333,1,9,2
2022-04-13 10:00:00,1649844000000,3050.41,3056.99,3029.41,3032.47,14590.6851,-0.005884435585919445,0.0060176805227465085,21380.887425,1,10,2
2022-04-13 11:00:00,1649847600000,3032.47,3046.0,3012.0,3014.09,17326.6072,-0.006061065731895021,0.005907826143156815,20929.4083125,1,11,2
2022-04-13 12:00:00,1649851200000,3014.09,3029.3,3004.4,3006.48,21548.0977,-0.002524808482825658,0.005216604579421571,19112.056441666668,1,12,2
2022-04-13 13:00:00,1649854800000,3006.48,3086.87,2996.86,3079.12,42719.7422,0.02416114525957269,0.007067689124013397,18730.725733333333,1,13,2
2022-04-13 14:00:00,1649858400000,3079.11,3099.51,3061.33,3072.92,43382.964,-0.002013562316505957,0.006857099067290242,18558.392845833332,1,14,2
2022-04-13 15:00:00,1649862000000,3072.92,3116.44,3072.71,3093.42,31956.9642,0.006671179204144506,0.0068882378851736065,19006.18175,1,15,2
2022-04-13 16:00:00,1649865600000,3093.43,3120.48,3081.98,3086.49,29371.8893,-0.002240238958822416,0.006907078985163657,18873.525429166668,1,16,2
2022-04-13 17:00:00,1649869200000,3086.5,3086.99,3069.06,3081.65,16805.9064,-0.0015681243094906039,0.006880290710630872,18834.984708333333,1,17,2
2022-04-13 18:00:00,1649872800000,3081.64,3107.21,3073.34,3106.35,12902.6749,0.008015186669478869,0.006615450898356578,18402.836708333332,1,18,2
2022-04-13 19:00:00,1649876400000,3106.36,3114.74,3083.12,3086.03,14296.6851,-0.006541439309800778,0.006418038289454072,17766.704295833333,1,19,2
2022-04-13 20:00:00,1649880000000,3086.03,3113.83,3082.44,3105.26,10356.4137,0.006231306889433963,0.006454435519621055,17521.664091666666,1,20,2
2022-04-13 21:00:00,1649883600000,3105.27,3111.85,3091.31,3105.88,8383.0902,0.0001996612199943737,0.0063359120155746665,17382.01614583333,1,21,2
2022-04-13 22:00:00,1649887200000,3105.89,3128.37,3100.34,3122.91,17448.4267,0.005483148093293977,0.006392398966650405,17459.451379166665,0,22,2
2022-04-13 23:00:00,1649890800000,3122.91,3128.97,3110.52,3118.28,13331.4502,-0.0014825915572334036,0.00638491587429676,17462.56225,0,23,2
2022-04-14 00:00:00,1649894400000,3118.28,3126.4,3110.54,3118.91,13910.12,0.00020203445489164196,0.006378805109420591,17318.835704166668,0,0,3
2022-04-14 01:00:00,1649898000000,3118.91,3145.0,3115.72,3139.12,14084.7634,0.006479827888589362,0.006466576342435193,17437.565966666665,0,1,3
2022-04-14 02:00:00,1649901600000,3139.13,3143.53,3123.21,3126.35,13489.7298,-0.004068019062667294,0.006509101235382268,17363.955883333332,0,2,3
2022-04-14 03:00:00,1649905200000,3126.34,3128.34,3113.07,3117.9,12046.3696,-0.0027028323764133333,0.006555391861447694,17281.241366666665,0,3,3
