datetime,open,high,low,close,tx_hash,from,to,eth_value,inflow_mean,inflow_mean_ma7,inflow_top10,inflow_total,v,c,h,l,o,t,hour
2025-01-12 00:00:00,92624.0,95799.0,92276.0,94560.0,,,,,,,,,,,,,,,0
2025-01-12 01:00:00,92624.0,95799.0,92276.0,94560.0,,,,,,,,,,,,,,,1
2025-01-12 02:00:00,92624.0,95799.0,92276.0,94560.0,,,,,0.09596501,0.24860362,4.44198263,4.70228538,1433865512.391133,87701.11,87701.73,87594.19,87594.19,1736647200.0,2
2025-01-12 03:00:00,92624.0,95799.0,92276.0,94560.0,,,,,0.44797985,0.30202024,40.07524449,41.21414631,2767877438.8610773,87672.01,87708.1,87664.23,87701.11,1736650800.0,3
2025-01-12 04:00:00,92624.0,95799.0,92276.0,94560.0,,,,,0.22524207,0.23025098,17.07323858,18.46984958,1309982185.0886035,87685.99,87725.67,87651.25,87672.01,1736654400.0,4
2025-01-12 05:00:00,92624.0,95799.0,92276.0,94560.0,,,,,0.08610887,0.23785901,3.95020073,4.13322573,586689294.5916985,87710.37,87710.37,87677.72,87685.99,1736658000.0,5
2025-01-12 06:00:00,92624.0,95799.0,92276.0,94560.0,,,,,0.20603161,0.25214286,16.01633462,17.1006238,1170086534.8899963,87717.35,87770.75,87668.82,87710.37,1736661600.0,6
2025-01-12 07:00:00,92624.0,95799.0,92276.0,94560.0,,,,,0.18149486,0.20955454,12.63253729,15.24556829,952424882.5089326,87861.08,87861.08,87685.24,87717.35,1736665200.0,7
2025-01-12 08:00:00,92624.0,95799.0,92276.0,94560.0,,,,,0.01713534,0.17999394,1.33261214,2.12478278,3094268850.6247926,87965.08,87965.79,87859.78,87861.08,1736668800.0,8
2025-01-12 09:00:00,92624.0,95799.0,92276.0,94560.0,,,,,0.22031519,0.19775826,12.51341108,12.99859596,1138008957.3212738,88255.9,88293.71,87941.06,87965.08,1736672400.0,9
2025-01-12 10:00:00,92624.0,95799.0,92276.0,94560.0,,,,,0.10011876,0.14806381,7.81528205,8.40997596,1330519418.236043,88491.01,88494.55,88255.9,88255.9,1736676000.0,10
2025-01-12 11:00:00,92624.0,95799.0,92276.0,94560.0,,,,,0.05312059,0.12347503,5.13925563,5.8432652,1540126963.9456291,88267.58,88492.35,88162.92,88491.01,1736679600.0,11
2025-01-12 12:00:00,92624.0,95799.0,92276.0,94560.0,,,,,0.11925604,0.12821034,13.65522629,14.78774855,2343619820.861982,88395.93,88420.66,88183.61,88267.58,1736683200.0,12
2025-01-12 13:00:00,92624.0,95799.0,92276.0,94560.0,,,,,0.21537368,0.12954492,17.74653013,18.09138918,2553435767.422587,88826.97,89012.65,88376.44,88395.93,1736686800.0,13
2025-01-12 14:00:00,92624.0,95799.0,92276.0,94560.0,,,,,0.77268377,0.21400048,55.24135318,56.40591527,1431549281.2313178,88629.42,88826.97,88466.54,88826.97,1736690400.0,14
