timestamp,btc_open,btc_high,btc_low,btc_close,btc_volume,btc_close_lag_1h,btc_close_lag_6h,btc_close_lag_24h,btc_ma_6h,btc_ma_24h,btc_return_1h,btc_volatility_6h,btc_rsi_14h,btc_volume_change_1h,btc_volume_ma_6h,btc_volume_ma_ratio,eth_open,eth_high,eth_low,eth_close,eth_volume,eth_close_lag_1h,eth_close_lag_6h,eth_close_lag_24h,eth_ma_6h,eth_ma_24h,eth_return_1h,eth_volatility_6h,eth_rsi_14h,eth_volume_change_1h,eth_volume_ma_6h,eth_volume_ma_ratio,flow_cq_inflow,flow_cq_outflow,flow_cq_netflow,flow_cq_flow_ratio,eth_whale_volume,eth_whale_tx_count,eth_unique_senders,eth_unique_receivers,eth_whale_volume_ma_6h,eth_whale_tx_ma_6h,eth_whale_volume_onchain,eth_whale_tx_count_onchain,eth_whale_tx_count_large,eth_whale_volume_ma_6h_onchain
2025-01-11 19:00:00,94236.98647243754,94236.98647243754,94236.98647243754,94236.98647243754,17806336068.069622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-11 20:00:00,94236.98647243754,94202.518354446,94202.518354446,94202.518354446,19683239875.5187,94236.98647243754,0.0,0.0,0.0,0.0,-0.00036575997686016937,0.0,0.0,0.10540651374174326,0.0,0.0,3275.4782710888603,3275.4782710888603,3275.4782710888603,3275.4782710888603,11195178345.493578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-11 21:00:00,94202.518354446,94561.03444332824,94561.03444332824,94561.03444332824,17765021600.97453,94202.518354446,0.0,0.0,0.0,0.0,0.003805801534235931,0.0,0.0,-0.09745439707463921,0.0,0.0,3275.4782710888603,3296.8499408059847,3296.8499408059847,3296.8499408059847,10735087627.06168,3275.4782710888603,0.0,0.0,0.0,0.0,0.006524747822558297,0.0,0.0,-0.04109722098505908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-11 22:00:00,94561.03444332824,94908.52887829034,94908.52887829034,94908.52887829034,16804106542.91104,94561.03444332824,0.0,0.0,0.0,0.0,0.0036748163448905302,0.0,0.0,-0.05409028368481006,0.0,0.0,3296.8499408059847,3308.3310658974724,3308.3310658974724,3308.3310658974724,10992678382.01958,3296.8499408059847,0.0,0.0,0.0,0.0,0.0034824530377870477,0.0,0.0,0.02399521679809591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-11 23:00:00,94908.52887829034,94565.96347474444,94565.96347474444,94565.96347474444,14612786151.449455,94908.52887829034,0.0,0.0,0.0,0.0,-0.0036094269671507195,0.0,0.0,-0.13040386204799514,0.0,0.0,3308.3310658974724,3288.694178208778,3288.694178208778,3288.694178208778,10974289526.466688,3308.3310658974724,0.0,0.0,0.0,0.0,-0.005935587248541485,0.0,0.0,-0.001672827577942293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-12 00:00:00,94565.96347474444,94572.19295828749,94572.19295828749,94572.19295828749,17731557529.922108,94565.96347474444,0.0,0.0,94507.870763589,0.0,6.587447866190921e-05,0.0,0.0,0.2134275658419389,17400507961.474243,1.0190252818584853,3288.694178208778,3283.0070131950847,3283.0070131950847,3283.0070131950847,10791923693.915394,3288.694178208778,0.0,0.0,0.0,0.0,-0.0017293079579661086,0.0,0.0,-0.01661755251777186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-12 01:00:00,94572.19295828749,94342.7718499486,94342.7718499486,94342.7718499486,17612762957.40514,94572.19295828749,94236.98647243754,0.0,94525.50165984085,0.0,-0.0024258833507230237,0.003060089151414827,0.0,-0.006699612953712686,17368245776.363495,1.0140784040132833,3283.0070131950847,3280.4242985253736,3280.4242985253736,3280.4242985253736,10688148547.618343,3283.0070131950847,0.0,0.0,3288.7974612869257,0.0,-0.000786691791802685,0.0,0.0,-0.009616000746517472,10896217687.095877,0.9809044619470163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-12 02:00:00,94342.7718499486,94536.89752196112,94536.89752196112,94536.89752196112,17699230680.0201,94342.7718499486,94202.518354446,0.0,94581.23152109336,0.0,0.0020576634352154066,0.0031310322729470315,0.0,0.0049093786604677,17037577577.11373,1.0388349282585312,3280.4242985253736,3286.883254312652,3286.883254312652,3286.883254312652,10766591388.273306,3280.4242985253736,3275.4782710888603,0.0,3290.6982918242243,0.0,0.001968939136983483,0.00436684573348295,0.0,0.007339235631454777,10824786527.559166,0.9946238995902876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-12 03:00:00,94536.89752196112,94598.60594893617,94598.60594893617,94598.60594893617,17128330563.65476,94536.89752196112,94561.03444332824,0.0,94587.4934386947,0.0,0.0006527443632335928,0.0027222317452966563,0.0,-0.03225564583492346,16931462404.227098,1.0116273570898702,3286.883254312652,3286.8189102146257,3286.8189102146257,3286.8189102146257,10605147670.81517,3286.883254312652,3296.8499408059847,0.0,3289.026453392331,0.0,-1.9576021734746263e-05,0.003265741376379716,0.0,-0.01499487736053362,10803129868.184748,0.981673626089358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-12 04:00:00,94598.60594893617,94565.80576126036,94565.80576126036,94565.80576126036,16179245419.003897,94598.60594893617,94908.52887829034,0.0,94530.3729191897,0.0,-0.00034673013779407125,0.002075117971291643,0.0,-0.05541025385537357,16827318883.57591,0.96148682573523,3286.8189102146257,3283.607157986765,3283.607157986765,3283.607157986765,10252141306.909796,3286.8189102146257,3308.3310658974724,0.0,3284.90580207388,0.0,-0.0009771612965592258,0.0026210303676823987,0.0,-0.03328632234672513,10679707022.333117,0.9599646587187076,0.22524207,0.48969537,5.248074680000002,0.45996271117958254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
